lift_key,name,score_type,input_mode,equipment,primary_muscles,secondary_muscles,video_url,lift_info,needs_review,source_name
hip_adduction_machine,Hip Adduction Machine,multiplier,standard,machine,adductors,,,,,Hip Adduction Machine
hip_thrust,Hip Thrust,multiplier,standard,machine,glutes,,,,,Hip Thrust
hip_thrust_machine,Hip Thrust Machine,multiplier,standard,machine,glutes,,,,,Hip Thrust Machine
hip_thrust_with_band_around_knees,Hip Thrust With Band Around Knees,multiplier,standard,band,glutes,,,,,Hip Thrust With Band Around Knees
hollow_body_crunch,Hollow Body Crunch,bodyweight,standard,bodyweight,abs,,,,,Hollow Body Crunch
hollow_hold,Hollow Hold,bodyweight,standard,bodyweight,abs,,,,,Hollow Hold
horizontal_wood_chop_with_band,Horizontal Wood Chop with Band,multiplier,standard,band,obliques,abs,,,,Horizontal Wood Chop with Band
horizontal_wood_chop_with_cable,Horizontal Wood Chop with Cable,multiplier,standard,cable machine,obliques,abs,,,,Horizontal Wood Chop with Cable
incline_bench_press,Incline Bench Press,multiplier,standard,barbell,chest,triceps,,,,Incline Bench Press
incline_dumbbell_curl,Incline Dumbbell Curl,multiplier,standard,dumbbell,biceps,,,,,Incline Dumbbell Curl
incline_dumbbell_press,Incline Dumbbell Press,multiplier,standard,dumbbell,chest,triceps,,,,Incline Dumbbell Press
incline_push_up,Incline Push-Up,bodyweight,standard,bodyweight,chest,triceps,,,,Incline Push-Up
inverted_row,Inverted Row,multiplier,standard,barbell,back,shoulders,,,,Inverted Row
inverted_row_with_underhand_grip,Inverted Row with Underhand Grip,multiplier,standard,barbell,back,biceps,,,,Inverted Row with Underhand Grip
jackknife_sit_up,Jackknife Sit-Up,bodyweight,standard,bodyweight,abs,,,,,Jackknife Sit-Up
jefferson_curl,Jefferson Curl,multiplier,standard,machine,biceps,,,,,Jefferson Curl
jerk,Jerk,multiplier,standard,barbell,shoulders,legs,,,,Jerk
jumping_lunge,Jumping Lunge,multiplier,standard,floor,legs,,,,,Jumping Lunge
jumping_muscle_up,Jumping Muscle-Up,multiplier,standard,pull-up bar,back,legs,,,,Jumping Muscle-Up
kettlebell_clean,Kettlebell Clean,multiplier,standard,kettlebell,back,legs,,,,Kettlebell Clean
kettlebell_clean_and_jerk,Kettlebell Clean & Jerk,multiplier,standard,kettlebell,shoulders,traps,,,,Kettlebell Clean & Jerk
kettlebell_clean_and_press,Kettlebell Clean & Press,multiplier,standard,kettlebell,back,shoulders,,,,Kettlebell Clean & Press
kettlebell_floor_press,Kettlebell Floor Press,multiplier,standard,kettlebell,chest,triceps,,,,Kettlebell Floor Press
kettlebell_halo,Kettlebell Halo,multiplier,standard,kettlebell,back,obliques,,,,Kettlebell Halo
kettlebell_plank_pull_through,Kettlebell Plank Pull Through,multiplier,standard,kettlebell,abs,,,,,Kettlebell Plank Pull Through
kettlebell_swing,Kettlebell Swing,multiplier,standard,kettlebell,back,,,,,Kettlebell Swing
kettlebell_thrusters,Kettlebell Thrusters,multiplier,standard,kettlebell,glutes,back,,,,Kettlebell Thrusters
kettlebell_windmill,Kettlebell Windmill,multiplier,standard,kettlebell,back,abs,,,,Kettlebell Windmill
kneeling_ab_wheel_roll_out,Kneeling Ab Wheel Roll-Out,multiplier,standard,ab wheel,back,,,,,Kneeling Ab Wheel Roll-Out
kneeling_incline_push_up,Kneeling Incline Push-Up,bodyweight,standard,bodyweight,chest,,,,,Kneeling Incline Push-Up
kneeling_plank,Kneeling Plank,bodyweight,standard,bodyweight,abs,,,,,Kneeling Plank
kneeling_push_up,Kneeling Push-Up,bodyweight,standard,bodyweight,chest,,,,,Kneeling Push-Up
kneeling_side_plank,Kneeling Side Plank,bodyweight,standard,bodyweight,abs,,,,,Kneeling Side Plank
kroc_row,Kroc Row,multiplier,standard,barbell,back,,,,,Kroc Row
l_sit,L-Sit,bodyweight,standard,bodyweight,abs,,,,,L-Sit
landmine_hack_squat,Landmine Hack Squat,multiplier,standard,landmine,legs,back,,,,Landmine Hack Squat
landmine_press,Landmine Press,multiplier,standard,landmine,shoulders,,,,,Landmine Press
landmine_squat,Landmine Squat,multiplier,standard,landmine,legs,back,,,,Landmine Squat
lateral_bound,Lateral Bound,multiplier,standard,floor,legs,,,,,Lateral Bound
lateral_walk_with_band,Lateral Walk With Band,multiplier,standard,band,legs,,,,,Lateral Walk With Band
